generated_index,metric,rank,real_slice_index,score
39,PSNR,1,9504,25.6718
39,PSNR,2,9506,24.4305
39,PSNR,3,9512,24.1130
39,SSIM,1,9504,0.7681
39,SSIM,2,9506,0.7600
39,SSIM,3,9508,0.7079
40,PSNR,1,11863,22.6505
40,PSNR,2,11858,22.5531
40,PSNR,3,7645,22.4860
40,SSIM,1,20719,0.7105
40,SSIM,2,20725,0.7010
40,SSIM,3,20707,0.6965
41,PSNR,1,9939,25.0855
41,PSNR,2,9945,24.3919
41,PSNR,3,9958,24.3905
41,SSIM,1,9937,0.7605
41,SSIM,2,9939,0.7438
41,SSIM,3,9940,0.7278
42,PSNR,1,10010,24.4313
42,PSNR,2,10012,24.1423
42,PSNR,3,10021,24.1329
42,SSIM,1,10012,0.7732
42,SSIM,2,10010,0.7667
42,SSIM,3,10018,0.7604
43,PSNR,1,10052,28.2842
43,PSNR,2,10051,28.2098
43,PSNR,3,10063,27.8607
43,SSIM,1,10052,0.8475
43,SSIM,2,10055,0.8241
43,SSIM,3,10046,0.8214
44,PSNR,1,7889,21.4469
44,PSNR,2,7895,21.4076
44,PSNR,3,7903,21.3930
44,SSIM,1,9967,0.5969
44,SSIM,2,9979,0.5946
44,SSIM,3,9973,0.5945
45,PSNR,1,10405,25.6972
45,PSNR,2,10393,25.4027
45,PSNR,3,10411,24.8837
45,SSIM,1,10399,0.7893
45,SSIM,2,10405,0.7823
45,SSIM,3,10411,0.7498
46,PSNR,1,10491,24.8981
46,PSNR,2,10489,24.8225
46,PSNR,3,10490,24.7552
46,SSIM,1,10489,0.8070
46,SSIM,2,10483,0.7968
46,SSIM,3,10495,0.7671
47,PSNR,1,11047,22.7909
47,PSNR,2,11049,22.7123
47,PSNR,3,11053,22.5545
47,SSIM,1,11046,0.7440
47,SSIM,2,11052,0.7133
47,SSIM,3,11048,0.7102
48,PSNR,1,2290,20.3297
48,PSNR,2,16249,20.3205
48,PSNR,3,2284,20.3106
48,SSIM,1,16237,0.5431
48,SSIM,2,20725,0.5408
48,SSIM,3,9961,0.5407
49,PSNR,1,14963,19.7039
49,PSNR,2,14969,19.5471
49,PSNR,3,14961,19.4737
49,SSIM,1,16171,0.5664
49,SSIM,2,16177,0.5579
49,SSIM,3,16165,0.5550
50,PSNR,1,16033,22.6942
50,PSNR,2,6409,22.6196
50,PSNR,3,6415,22.4842
50,SSIM,1,16027,0.7246
50,SSIM,2,16021,0.7181
50,SSIM,3,16033,0.7136
51,PSNR,1,9762,22.7314
51,PSNR,2,9765,22.5648
51,PSNR,3,9771,22.5306
51,SSIM,1,19471,0.5958
51,SSIM,2,19477,0.5932
51,SSIM,3,11419,0.5793
52,PSNR,1,9631,20.8578
52,PSNR,2,11536,20.7398
52,PSNR,3,9637,20.6649
52,SSIM,1,11533,0.6970
52,SSIM,2,11539,0.6967
52,SSIM,3,11545,0.6935
53,PSNR,1,13024,22.1577
53,PSNR,2,13022,22.0357
53,PSNR,3,13030,21.8765
53,SSIM,1,11682,0.6632
53,SSIM,2,5577,0.6358
53,SSIM,3,5571,0.6354
54,PSNR,1,11991,23.2635
54,PSNR,2,11992,22.2564
54,PSNR,3,11990,22.1766
54,SSIM,1,11991,0.6937
54,SSIM,2,11989,0.6782
54,SSIM,3,11995,0.6748
55,PSNR,1,21289,21.0422
55,PSNR,2,21292,20.7577
55,PSNR,3,21295,20.7117
55,SSIM,1,21289,0.5791
55,SSIM,2,21271,0.5780
55,SSIM,3,21283,0.5741
56,PSNR,1,12283,25.2153
56,PSNR,2,12277,25.0449
56,PSNR,3,12271,24.7921
56,SSIM,1,7885,0.7260
56,SSIM,2,7939,0.7259
56,SSIM,3,7933,0.7251
57,PSNR,1,12626,23.4802
57,PSNR,2,12620,23.3026
57,PSNR,3,12628,23.2338
57,SSIM,1,12626,0.6626
57,SSIM,2,12628,0.6481
57,SSIM,3,12624,0.6204
58,PSNR,1,12637,25.8271
58,PSNR,2,12659,24.9387
58,PSNR,3,12655,24.6693
58,SSIM,1,7885,0.7194
58,SSIM,2,7867,0.7178
58,SSIM,3,7873,0.7131
59,PSNR,1,12762,22.1646
59,PSNR,2,12756,21.3115
59,PSNR,3,12764,21.2977
59,SSIM,1,12762,0.6352
59,SSIM,2,11774,0.6317
59,SSIM,3,11775,0.6303
60,PSNR,1,5584,22.1571
60,PSNR,2,5588,22.1525
60,PSNR,3,5582,22.1428
60,SSIM,1,12864,0.7054
60,SSIM,2,12859,0.7049
60,SSIM,3,12865,0.6988
61,PSNR,1,10756,20.8482
61,PSNR,2,5539,20.7067
61,PSNR,3,10753,20.6088
61,SSIM,1,10753,0.7342
61,SSIM,2,10759,0.7331
61,SSIM,3,12973,0.7303
62,PSNR,1,5589,22.5031
62,PSNR,2,5569,22.3853
62,PSNR,3,5563,22.3837
62,SSIM,1,5565,0.7290
62,SSIM,2,5589,0.7264
62,SSIM,3,5577,0.7238
63,PSNR,1,5581,21.4153
63,PSNR,2,5587,21.3937
63,PSNR,3,5575,21.3913
63,SSIM,1,5589,0.6763
63,SSIM,2,5577,0.6737
63,SSIM,3,5583,0.6721
64,PSNR,1,10375,22.7708
64,PSNR,2,12289,22.2683
64,PSNR,3,12283,22.1600
64,SSIM,1,13279,0.7355
64,SSIM,2,13285,0.7340
64,SSIM,3,13291,0.7309
65,PSNR,1,2461,21.3576
65,PSNR,2,2455,21.2577
65,PSNR,3,21025,21.2497
65,SSIM,1,21019,0.7577
65,SSIM,2,21025,0.7553
65,SSIM,3,3595,0.7535
66,PSNR,1,11682,21.3817
66,PSNR,2,7889,21.3580
66,PSNR,3,7895,21.1277
66,SSIM,1,11682,0.7336
66,SSIM,2,3775,0.7091
66,SSIM,3,3649,0.7030
67,PSNR,1,14115,21.6369
67,PSNR,2,14121,21.3009
67,PSNR,3,14114,21.2117
67,SSIM,1,14118,0.5777
67,SSIM,2,14121,0.5756
67,SSIM,3,14120,0.5719
68,PSNR,1,14527,24.9224
68,PSNR,2,14509,24.6052
68,PSNR,3,14503,24.4836
68,SSIM,1,14529,0.7016
68,SSIM,2,14507,0.7004
68,SSIM,3,14513,0.6997
69,PSNR,1,15157,26.0806
69,PSNR,2,15158,24.8535
69,PSNR,3,15163,24.6936
69,SSIM,1,15157,0.8005
69,SSIM,2,15158,0.7777
69,SSIM,3,15163,0.7617
70,PSNR,1,15253,22.6378
70,PSNR,2,15259,22.5046
70,PSNR,3,15283,22.4825
70,SSIM,1,15265,0.7531
70,SSIM,2,15271,0.7498
70,SSIM,3,15277,0.7488
71,PSNR,1,16021,27.2958
71,PSNR,2,16024,26.9417
71,PSNR,3,16027,26.9212
71,SSIM,1,16021,0.8034
71,SSIM,2,16027,0.7889
71,SSIM,3,16033,0.7743
72,PSNR,1,16033,27.5407
72,PSNR,2,16039,27.2951
72,PSNR,3,16045,27.2339
72,SSIM,1,16039,0.8530
72,SSIM,2,16045,0.8403
72,SSIM,3,16033,0.8255
73,PSNR,1,16612,23.0989
73,PSNR,2,16609,22.5788
73,PSNR,3,16603,21.8827
73,SSIM,1,16609,0.7202
73,SSIM,2,16603,0.7042
73,SSIM,3,16610,0.6595
74,PSNR,1,16717,25.2410
74,PSNR,2,16711,24.4243
74,PSNR,3,16723,24.3688
74,SSIM,1,6169,0.6545
74,SSIM,2,6175,0.6465
74,SSIM,3,6163,0.6457
75,PSNR,1,18870,20.6188
75,PSNR,2,18871,20.5714
